Vértices	Tiempo
1	0.0035395
2	0.0038076
3	0.0047912
4	0.0059087
5	0.0077662
6	0.0096535
7	0.0106279
8	0.011586
9	0.0119843
10	0.0141965
11	0.016417
12	0.018996
13	0.02192
14	0.0248447
15	0.0323567
16	0.0324161
17	0.0359719
18	0.0396708
19	0.0613058
20	0.0566053
21	0.0549561
22	0.0601733
23	0.0663363
24	0.0702916
25	0.0981404
26	0.0848168
27	0.0988848
28	0.103648
29	0.101027
30	0.110834
31	0.135665
32	0.118453
33	0.12534
34	0.134044
35	0.140935
36	0.151606
37	0.160381
38	0.182077
39	0.178712
40	0.191658
41	0.195854
42	0.203692
43	0.2242
44	0.236386
45	0.25167
46	0.25914
47	0.270063
48	0.279272
49	0.29038
50	0.30731
51	0.320505
52	0.330564
53	0.355822
54	0.365234
55	0.376149
56	0.410815
57	0.398276
58	0.416075
59	0.433647
60	0.446971
61	0.470509
62	0.486544
63	0.510861
64	0.510241
65	0.538904
66	0.567089
67	0.67593
68	0.715179
69	0.712893
70	0.72875
71	0.749564
72	0.774967
73	0.801462
74	0.803194
75	0.838176
76	0.861429
77	0.878571
78	0.8953
79	0.971458
80	0.950191
81	0.978623
82	0.993307
83	1.01955
84	1.05854
85	1.2137
86	1.38531
87	1.32328
88	1.33254
89	1.26601
90	1.18204
91	1.22423
92	1.25785
93	1.27591
94	1.29628
95	1.30953
96	1.41856
97	1.37814
98	1.40581
99	1.4359
100	1.47208
101	1.50536
102	1.52574
103	1.58864
104	1.58368
105	1.60103
106	1.99439
107	1.81948
108	2.43885
109	2.65604
110	2.3904
111	2.08752
112	1.99285
113	1.87313
114	1.91449
115	1.93736
116	1.96368
117	1.99198
118	2.12697
119	2.60664
120	2.17358
121	2.24184
122	2.18508
123	2.20233
124	2.24948
125	2.28194
126	2.3114
127	2.36132
128	2.40198
129	2.41726
130	3.03502
131	3.25684
132	2.92448
133	3.54869
134	2.88277
135	3.3587
136	3.18736
137	3.00558
138	3.13095
139	3.37649
140	3.16404
141	3.00493
142	2.94735
143	3.03576
144	3.06849
145	3.09564
146	3.10521
147	3.16942
148	3.19632
149	3.26207
150	3.38628
151	3.47331
152	3.37365
153	3.43276
154	3.45284
155	3.51288
156	3.55067
157	3.58019
158	3.63516
159	3.9128
160	4.16197
161	3.79795
162	3.85599
163	3.8604
164	3.92451
165	3.98457
166	4.07112
167	4.24153
168	4.16367
169	4.1458
170	4.20771
171	4.24451
172	4.32484
173	4.39166
174	4.45826
175	4.6176
176	4.50923
177	4.59102
178	4.72152
179	4.64903
180	4.8455
181	5.25157
182	4.85401
183	4.87625
184	4.89331
185	5.02053
186	5.08085
187	5.28218
188	5.15083
189	5.19647
190	5.24861
191	5.31181
192	5.424
193	5.62957
194	5.45991
195	5.56047
196	5.67893
197	6.05614
198	5.96867
199	5.90652
200	5.81146
Evaluaciones: 200
Montecarlos correctos: 199
